You\Deal,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,0H,-,-,-,-,-,-,-,-,0H,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,0H,0H,-,-,-,-,-,-,-,0H,0H,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,0H,0H,0H,-,-,-,-,-,-,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-,-
10,-,0H,0H,0H,0H,0H,-,-,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
11,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
12,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
13,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
14,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
15,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
16,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
17,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,0H,0H,0H,0H,0H,0H,0H,0H,-,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
18,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,0H,0H,0H,0H,0H,0H,0H,-,-,0H,0H,-,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,0H,0H,-,-,-,-,-,-,-,-,0H,0H,0H,0H,0H,0H,-,-,-,0H,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,0H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
2A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
3A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
4A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
5A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
6A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,0H,0H,0H,0H,0H,0H,0H,0H,-,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
7A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,0H,0H,0H,0H,0H,0H,0H,-,-,0H,0H,-,-,-,-,-,-,-,-,-,-,-
8A,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,11H,0H,0H,0H,0H,0H,0H,-,-,11H,0H,-,-,-,-,-,-,-,-,-,-,-
9A,0H,0H,0H,0H,0H,-,0H,0H,0H,0H,0H,0H,0H,-,-,-,13H,0H,0H,0H,0H,0H,-,-,-,13H,-,-,-,-,-,-,-,-,-,-,-
10A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
